cluster,range,n_bins,Rmin_arcsec,Rmax_arcsec,Rmin_Rh,Rmax_Rh,KAP,KAP_err_analytic,KAP_resample_std,KAP_SNR,KAP_class,GKI,GKI_err,GKI_resample_std,GKI_SNR,GKI_sign_class,R2_GKI,chi2nu_GKI,delta_BIC_slope_minus_const,beta_min,beta_max,beta_var,mean_beta_err2,Ds_raw,Ds_corr,minus_beta_norm_wmean,minus_beta_norm_dispersionweighted,KAP_minus_minus_beta_norm_wmean
NGC0104,full,28,8.0216,158.5868,0.0436183114797455,0.8623327564296549,-0.0263310856799495,0.0100771893050961,0.0097608021115743,2.612939469801733,RADIAL,-0.1072390769030058,0.0086589217652004,0.0081412523503006,12.384807232465352,NEGATIVE,0.8205963526139419,1.2897538724898436,-150.051245675159,-0.3087359999999999,0.2541322314049586,0.0187033441846052,0.0222344966194735,0.5148027876009011,0.0,-0.029984119753433,-0.0263310856799495,0.0036530340734834
NGC0362,full,19,7.1193,90.796,0.1379050540462544,1.7587722510898154,0.0121558406503014,0.0179293862470058,0.0173085545758064,0.6779842032981714,ISOTROPIC,-0.1070071059061081,0.0135210052184374,0.0125516267504311,7.914138348248842,NEGATIVE,0.7604287759585511,1.160738697264511,-59.6891468160528,-0.3099000968959873,0.1416522491349479,0.0204410065326373,0.0253331661495789,0.9226012614583052,0.0,0.0154665892801497,0.0121558406503014,-0.0033107486298482
NGC1261,full,20,3.1141,99.6557,0.0761846541696734,2.4380190233251096,0.0066881728001082,0.0200382303521404,0.0199578180710207,0.3337706315664665,ISOTROPIC,-0.1534218610796225,0.0128944490761578,0.0118897589613503,11.898287408285144,NEGATIVE,0.8461060076322131,1.430517889124995,-138.5735109765975,-0.514792899408284,0.1766117969821671,0.0320814517148614,0.036064827274212,1.9224064910601413,0.0,-0.0021259940222417,0.0066881728001082,0.00881416682235
NGC1851,full,20,4.3529,89.8988,0.1441063126144938,2.97617325839506,-0.0250735597254816,0.0162769966411801,0.015939537455224,1.5404291269586303,ISOTROPIC,-0.2166712119891492,0.0129835636403475,0.0125483133928554,16.68811568157022,NEGATIVE,0.9566692623383454,0.7007713858866349,-275.4974727279081,-0.5362031342987503,0.2581384197346691,0.0335030687023647,0.0293735878643848,0.955222936154497,0.1177377166817701,-0.0281658224978791,-0.0250735597254816,0.0030922627723974
NGC2808,full,24,3.475,101.5505,0.0691769108195965,2.02156831142027,-0.0725693345279348,0.0117534051380984,0.0116597302356157,6.17432426392778,RADIAL,-0.1650764605466171,0.0100775068099321,0.0089862692427128,16.380684593923753,NEGATIVE,0.8061989922225773,2.931940790637202,-265.1487739352691,-0.0499923792104861,0.3549105568153188,0.0116704048511482,0.0121131198203124,0.1413406674265962,0.0,-0.0772177375586014,-0.0725693345279348,0.0046484030306666
NGC5904,full,19,3.7621,104.368,0.0387582115240103,1.0752284682326134,-0.0041685209600013,0.0159627198238715,0.0152878630861402,0.2611410214547206,ISOTROPIC,-0.0405748129684444,0.0113811392154287,0.0103874577770723,3.5650924042330856,NEGATIVE,0.4122835634941407,1.0657724164179485,-9.765444871551647,-0.3195529257067719,0.2323668041410654,0.0147929378306897,0.0205028594560039,1.0440707165166505,0.0,-0.0052639839114602,-0.0041685209600013,0.0010954629514589
NGC5927,full,17,6.8315,106.5675,0.0880715525083511,1.3738659404133369,-0.0152906957506491,0.0173506655568743,0.0170570713644363,0.8812743061946087,ISOTROPIC,-0.0463686227950682,0.0136957240830105,0.0131195364309954,3.385627697668673,NEGATIVE,0.4541404639974338,0.9184972096110694,-8.629261563164924,-0.2933487120338331,0.2220979128891633,0.0217059351330303,0.0225263423000584,0.8582577303146419,0.0,-0.0164201225864146,-0.0152906957506491,0.0011294268357654
NGC5986,full,17,7.1035,87.9152,0.127811259479891,1.5818332426869166,-0.0375209139894452,0.0188006099459675,0.0181767324584179,1.995728548024737,ISOTROPIC,-0.1151526116083408,0.0161881436559533,0.0149774295924848,7.113392001929291,NEGATIVE,0.7540965986243935,1.1000179693237186,-47.76713242905941,-0.5001502313562887,0.2985937499999999,0.0504902464319575,0.0220159614970501,1.0624847502548411,0.5991948080214052,-0.0391533160567278,-0.0375209139894452,0.0016324020672825
NGC6205,full,21,6.8744,100.1628,0.0712662140858361,1.0383776836141023,-0.0128822823591842,0.0142629946613353,0.0143933183187828,0.9031961846067303,ISOTROPIC,-0.0856544136304919,0.0118120315172288,0.0112331510636273,7.251454883569997,NEGATIVE,0.7249589852455602,1.0499792640195738,-49.53907549071696,-0.3741672580755935,0.3286110733761571,0.0347309981956673,0.0169861048723634,1.517811800872538,0.7754861619466733,-0.0152313457550092,-0.0128822823591842,0.002349063395825
NGC6254,full,16,10.752,96.1468,0.0883894610036266,0.7903984216167678,0.0476502655212774,0.0242485672660786,0.0231943461426204,1.965075503159128,ISOTROPIC,-0.0650543884241253,0.0207642541202139,0.0199956384008673,3.1329990495923936,NEGATIVE,0.4552479189903808,0.838964181007596,-7.0430943225067,-0.5362031342987503,0.2829734651404787,0.0430685069018013,0.0482884662984797,0.747065195838616,0.0,0.0473673438503823,0.0476502655212774,0.0002829216708951
NGC6388,full,31,6.4747,108.8635,0.1343404427199211,2.2587565116592474,-0.0449915790457954,0.0100837332856963,0.0099736053376101,4.461797805542444,RADIAL,-0.230904634455573,0.0108729189248287,0.0105800595604618,21.23667398349604,NEGATIVE,0.9359017997014968,1.0651004190993447,-447.5623346768632,-0.07640625,0.2243077182055382,0.0079735983616739,0.0120227695159204,0.144996715861418,0.0,-0.0475548714431681,-0.0449915790457954,0.0025632923973727
NGC6441,full,27,7.0728,110.1411,0.2039766555635376,3.1764242192751317,-0.1006318895137109,0.0140888824093909,0.0140211670498609,7.142645285096203,RADIAL,-0.1588277808561178,0.0151954435338868,0.014914015250711,10.452329377679671,NEGATIVE,0.7701008004805641,1.3045960205945375,-105.95535255349986,-0.2712337899398418,0.3849795974587213,0.0168803204813525,0.0200169810903235,0.1525809651769577,0.0,-0.1059376044979479,-0.1006318895137109,0.005305714984237
NGC6541,full,21,3.7535,98.5503,0.0604727966323899,1.587748035156792,-0.0065158261853715,0.0172881437718322,0.0173737402802356,0.3768956500690253,ISOTROPIC,-0.1399489762302141,0.0105231893515701,0.0097747702631953,13.29910272966171,NEGATIVE,0.8290961381694444,1.918836913948848,-173.82161097637282,-0.4145513112285985,0.2978180727023319,0.0336804934107031,0.0247359087995634,2.039286017706752,0.5415765769599934,-0.0010365552583518,-0.0065158261853715,-0.0054792709270196
NGC6624,full,18,3.7576,83.4855,0.0859429888164996,1.9094617289865552,0.0183683084615948,0.024108539075931,0.0229420512852705,0.7619005201328433,ISOTROPIC,-0.1803041536753481,0.0146166261306507,0.0142916449307405,12.335552135198611,NEGATIVE,0.8991864439342214,1.066268027539829,-149.27547472230808,-0.3528494542528047,0.3198001913061962,0.0423418228144612,0.0424462751919436,1.4925748171338389,0.0,0.0312335086857732,0.0183683084615948,-0.0128652002241783
NGC6637,full,22,3.7959,87.7647,0.0679613794968061,1.5713296143532074,0.0235734926827894,0.0187065726242224,0.0185083058259041,1.2601716603214126,ISOTROPIC,-0.1471581347140373,0.0132915031969201,0.0122093722017467,11.07159457691256,NEGATIVE,0.7807077136563771,1.7215721881750283,-119.48916402216403,-0.4278224648089628,0.3442521266540642,0.0468203013509057,0.031882700611185,1.3945615308265744,0.4449224535813047,0.0360586035525195,0.0235734926827894,-0.01248511086973
