cluster,bin,N,R_arcsec,sigma,err_sigma,sigma_r,err_sigma_r,sigma_t,err_sigma_t,Rsun_kpc,rh_l_pc,rh_m_pc,Mass_Msun,RGC_kpc_struct,log_Trh,rc_pc,rt_pc,ARot_kms,PRot_percent,R_pc,R_over_rh_l
NGC0362,3,178,16.1014,0.184,0.007,0.173,0.009,0.198,0.011,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,0.6892849586696724,0.3118936464568653
NGC0362,4,178,19.5568,0.185,0.007,0.189,0.01,0.182,0.01,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,0.837207204324534,0.3788267892871194
NGC0362,5,178,22.6414,0.188,0.007,0.19,0.01,0.187,0.01,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,0.9692558698761302,0.4385773166860318
NGC0362,6,178,25.8596,0.188,0.007,0.195,0.011,0.182,0.01,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,1.1070238188737789,0.5009157551465063
NGC0362,7,178,29.0667,0.192,0.007,0.189,0.01,0.197,0.01,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,1.2443165878845177,0.5630391800382433
NGC0362,8,178,32.3391,0.174,0.007,0.167,0.009,0.18,0.01,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,1.3844047851065375,0.626427504573094
NGC0362,9,178,35.6755,0.179,0.007,0.182,0.01,0.171,0.009,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,1.5272327588296608,0.691055546981747
NGC0362,10,178,39.0979,0.174,0.007,0.177,0.01,0.172,0.009,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,1.673742307226141,0.7573494602833217
NGC0362,11,177,43.1205,0.178,0.007,0.167,0.009,0.184,0.01,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,1.8459458221220275,0.8352696027701481
NGC0362,12,177,47.1062,0.181,0.007,0.188,0.01,0.175,0.01,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,2.0165696846289967,0.9124749704203604
NGC0362,13,177,51.8703,0.167,0.006,0.164,0.009,0.17,0.009,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,2.2205160788306304,1.0047584067106925
NGC0362,14,177,56.6183,0.166,0.006,0.163,0.009,0.169,0.009,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,2.423773248006206,1.0967299764733964
NGC0362,15,177,61.9446,0.161,0.006,0.167,0.009,0.158,0.008,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,2.6517868664097155,1.1999035594614098
NGC0362,16,177,66.9422,0.157,0.006,0.148,0.008,0.168,0.009,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,2.8657291639395925,1.2967100289319424
NGC0362,17,177,72.8894,0.16,0.006,0.155,0.009,0.164,0.009,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,3.120322895304584,1.4119108123550157
NGC0362,18,177,79.0759,0.167,0.007,0.166,0.009,0.165,0.009,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,3.3851608222432312,1.5317469783906024
NGC0362,19,177,90.796,0.144,0.006,0.142,0.008,0.145,0.008,8.83,2.21,3.36,252000.0,9.62,9.01,0.43,86.94,0.51,53.0,3.886886674908492,1.7587722510898154
NGC1261,1,49,3.1141,0.075,0.006,0.077,0.008,0.073,0.008,16.4,3.25,4.86,172000.0,18.28,9.21,1.05,138.12,0.9,86.9,0.2476001260514386,0.0761846541696734
NGC1261,2,131,7.8312,0.073,0.003,0.065,0.004,0.08,0.005,16.4,3.25,4.86,172000.0,18.28,9.21,1.05,138.12,0.9,86.9,0.6226537706348629,0.1915857755799578
NGC1261,3,147,12.0745,0.071,0.003,0.07,0.004,0.072,0.005,16.4,3.25,4.86,172000.0,18.28,9.21,1.05,138.12,0.9,86.9,0.960035876178702,0.2953956542088314
