dependent,property,N,spearman_rho_full,p_value_full,spearman_rho_primary,p_value_primary
KAP,log_mass,20,-0.5654135338345864,0.0093743177506315,-0.3593984962406014,0.1196325063290389
KAP,log_Trh,20,-0.394430059474038,0.0852617014584701,-0.3357171880256125,0.1478708421831043
KAP,RGC_kpc_struct,20,-0.3172932330827067,0.1728368864071423,-0.0571428571428571,0.8108800461568324
KAP,RPeri_kpc,20,-0.2948477079516159,0.2069565734645278,-0.2805566200662059,0.2308592318708906
KAP,Rmax_Rh,20,-0.4285714285714286,0.0593797746860656,-0.1699248120300751,0.4738490648941122
